1157	枯萎	318	375
1158	枯燥	318	375
1159	哭泣	318	375
1161	苦涩	319	376
1166	宽容	320	377
1167	款待	321	378
1168	款式	321	378
1169	筐	321	378
1171	矿产	322	379
1173	愧疚	322	379
1174	亏损	323	380
1176	捆绑	323	380
1178	扩散	324	381
1179	扩张	324	381
1182	啦	325	382
1183	来历	326	383
1184	来源	326	383
1185	栏目	326	383
1186	懒惰	326	383
1187	狼狈	327	384
1188	狼吞虎咽	327	384
1189	朗读	327	384
1190	捞	327	384
1191	牢固	328	385
1193	唠叨	328	385
1194	乐趣	329	386
1198	冷淡	330	387
1199	冷酷	330	387
1200	冷落	330	387
1201	冷却	331	388
1202	愣	331	388
1203	黎明	331	388
1204	礼节	331	388
1205	礼尚往来	332	389
1209	理直气壮	333	390
